2026-06-04T03:57:10.248803 | ID:282 | fall | 检测到人员摔倒
2026-06-04T03:57:10.248841 | ID:283 | fall | 检测到人员摔倒
2026-06-04T03:57:10.248879 | ID:284 | fall | 检测到人员摔倒
2026-06-04T03:57:11.259758 | ID:285 | fall | 检测到人员摔倒
2026-06-04T03:57:11.259967 | ID:286 | fall | 检测到人员摔倒
2026-06-04T03:57:20.293880 | ID:287 | fall | 检测到人员摔倒
2026-06-04T03:57:20.294200 | ID:288 | fall | 检测到人员摔倒
2026-06-04T03:57:22.302349 | ID:289 | fall | 检测到人员摔倒
2026-06-04T03:57:22.302565 | ID:290 | fall | 检测到人员摔倒
2026-06-04T03:57:23.303103 | ID:291 | fall | 检测到人员摔倒
2026-06-04T03:57:23.303314 | ID:292 | fall | 检测到人员摔倒
2026-06-04T03:57:23.303372 | ID:293 | fall | 检测到人员摔倒
2026-06-04T03:57:23.303421 | ID:294 | fall | 检测到人员摔倒
2026-06-04T03:57:23.303463 | ID:295 | fall | 检测到人员摔倒
2026-06-04T03:57:23.303503 | ID:296 | fall | 检测到人员摔倒
2026-06-04T03:57:23.303545 | ID:297 | fall | 检测到人员摔倒
2026-06-04T03:57:23.303585 | ID:298 | fall | 检测到人员摔倒
2026-06-04T03:57:23.303629 | ID:299 | fall | 检测到人员摔倒
2026-06-04T03:57:23.303671 | ID:300 | fall | 检测到人员摔倒
2026-06-04T03:57:24.304173 | ID:301 | fall | 检测到人员摔倒
2026-06-04T03:57:24.304412 | ID:302 | fall | 检测到人员摔倒
2026-06-04T03:57:24.304489 | ID:303 | fall | 检测到人员摔倒
2026-06-04T03:57:24.304552 | ID:304 | fall | 检测到人员摔倒
2026-06-04T03:57:32.372928 | ID:305 | fall | 检测到人员摔倒
2026-06-04T03:57:32.373248 | ID:306 | fall | 检测到人员摔倒
2026-06-04T03:57:32.373311 | ID:307 | fall | 检测到人员摔倒
2026-06-04T03:57:32.373358 | ID:308 | fall | 检测到人员摔倒
2026-06-04T03:57:32.373419 | ID:309 | fall | 检测到人员摔倒
2026-06-04T03:57:32.373460 | ID:310 | fall | 检测到人员摔倒
2026-06-04T03:57:34.375436 | ID:311 | fall | 检测到人员摔倒
2026-06-04T03:57:34.375660 | ID:312 | fall | 检测到人员摔倒
2026-06-04T03:57:34.375716 | ID:313 | fall | 检测到人员摔倒
2026-06-04T03:57:34.375760 | ID:314 | fall | 检测到人员摔倒
2026-06-04T03:57:35.379884 | ID:315 | fall | 检测到人员摔倒
2026-06-04T03:57:35.380097 | ID:316 | fall | 检测到人员摔倒
2026-06-04T03:57:36.382400 | ID:317 | fall | 检测到人员摔倒
2026-06-04T03:57:36.382616 | ID:318 | fall | 检测到人员摔倒
2026-06-04T03:57:36.382673 | ID:319 | fall | 检测到人员摔倒
2026-06-04T03:57:36.382719 | ID:320 | fall | 检测到人员摔倒
2026-06-04T03:57:36.382760 | ID:321 | fall | 检测到人员摔倒
2026-06-04T03:57:36.382799 | ID:322 | fall | 检测到人员摔倒
2026-06-04T03:57:36.382839 | ID:323 | fall | 检测到人员摔倒
2026-06-04T03:57:36.382876 | ID:324 | fall | 检测到人员摔倒
2026-06-04T03:57:46.443008 | ID:325 | fall | 检测到人员摔倒
2026-06-04T03:57:46.443227 | ID:326 | fall | 检测到人员摔倒
2026-06-04T03:57:47.452267 | ID:327 | fall | 检测到人员摔倒
2026-06-04T03:57:47.452484 | ID:328 | fall | 检测到人员摔倒
2026-06-04T03:57:48.460710 | ID:329 | fall | 检测到人员摔倒
2026-06-04T03:57:48.460930 | ID:330 | fall | 检测到人员摔倒
2026-06-04T03:57:48.460986 | ID:331 | fall | 检测到人员摔倒
2026-06-04T03:57:48.461028 | ID:332 | fall | 检测到人员摔倒
2026-06-04T03:57:48.461066 | ID:333 | fall | 检测到人员摔倒
2026-06-04T03:57:48.461107 | ID:334 | fall | 检测到人员摔倒
2026-06-04T03:57:48.461145 | ID:335 | fall | 检测到人员摔倒
2026-06-04T03:57:48.461181 | ID:336 | fall | 检测到人员摔倒
2026-06-04T03:57:48.461219 | ID:337 | fall | 检测到人员摔倒
2026-06-04T03:57:56.492934 | ID:338 | fall | 检测到人员摔倒
2026-06-04T03:57:56.493234 | ID:339 | fall | 检测到人员摔倒
2026-06-04T03:57:57.495417 | ID:340 | fall | 检测到人员摔倒
2026-06-04T03:57:57.495631 | ID:341 | fall | 检测到人员摔倒
2026-06-04T03:57:58.500958 | ID:342 | fall | 检测到人员摔倒
2026-06-04T03:57:58.501172 | ID:343 | fall | 检测到人员摔倒
2026-06-04T03:57:58.501227 | ID:344 | fall | 检测到人员摔倒
2026-06-04T03:57:58.501273 | ID:345 | fall | 检测到人员摔倒
2026-06-04T03:57:58.501316 | ID:346 | fall | 检测到人员摔倒
2026-06-04T03:57:58.501357 | ID:347 | fall | 检测到人员摔倒
2026-06-04T03:57:58.501399 | ID:348 | fall | 检测到人员摔倒
2026-06-04T03:57:58.501438 | ID:349 | fall | 检测到人员摔倒
2026-06-04T03:57:58.501477 | ID:350 | fall | 检测到人员摔倒
2026-06-04T03:57:58.501516 | ID:351 | fall | 检测到人员摔倒
2026-06-04T03:57:59.509330 | ID:352 | fall | 检测到人员摔倒
2026-06-04T03:57:59.509550 | ID:353 | fall | 检测到人员摔倒
2026-06-04T03:57:59.509607 | ID:354 | fall | 检测到人员摔倒
